major group	sub-major Group	minor group	Unit Group	Group Title
3	35	354	3541	Buyers and procurement officers
3	35	354	3542	Business sales executives
3	35	354	3543	Marketing associate professionals
3	35	354	3544	Estate agents and auctioneers
3	35	354	3545	Sales accounts and business development managers
3	35	354	3546	Conference and exhibition managers and organisers
3	35	355	3550	Conservation and environmental associate professionals
3	35	356	3561	Public services associate professionals
3	35	356	3562	Human resources and industrial relations officers
3	35	356	3563	Vocational and industrial trainers and instructors
3	35	356	3564	Careers advisers and vocational guidance specialists
3	35	356	3565	Inspectors of standards and regulations
3	35	356	3567	Health and safety officers
4	41	411	4112	National government administrative occupations
4	41	411	4113	Local government administrative occupations
4	41	411	4114	Officers of non-governmental organisations
4	41	412	4121	Credit controllers
4	41	412	4122	Book-keepers, payroll managers and wages clerks
4	41	412	4123	Bank and post office clerks
4	41	412	4124	Finance officers
4	41	412	4129	Financial administrative occupations n.e.c.
4	41	413	4131	Records clerks and assistants
4	41	413	4132	Pensions and insurance clerks and assistants
4	41	413	4133	Stock control clerks and assistants
4	41	413	4134	Transport and distribution clerks and assistants
4	41	413	4135	Library clerks and assistants
4	41	413	4138	Human resources administrative occupations
4	41	415	4151	Sales administrators
4	41	415	4159	Other administrative occupations n.e.c.
4	41	416	4161	Office managers
4	41	416	4162	Office supervisors
4	42	421	4211	Medical secretaries
4	42	421	4212	Legal secretaries
4	42	421	4213	School secretaries
4	42	421	4214	Company secretaries
4	42	421	4215	Personal assistants and other secretaries
4	42	421	4216	Receptionists
4	42	421	4217	Typists and related keyboard occupations
5	51	511	5111	Farmers
5	51	511	5112	Horticultural trades
5	51	511	5113	Gardeners and landscape gardeners
5	51	511	5114	Groundsmen and greenkeepers
5	51	511	5119	Agricultural and fishing trades n.e.c.
5	52	521	5211	Smiths and forge workers
5	52	521	5212	Moulders, core makers and die casters
5	52	521	5213	Sheet metal workers
5	52	521	5214	Metal plate workers, and riveters
5	52	521	5215	Welding trades
5	52	521	5216	Pipe fitters
5	52	522	5221	Metal machining setters and setter-operators
5	52	522	5222	Tool makers, tool fitters and markers-out
5	52	522	5223	Metal working production and maintenance fitters
5	52	522	5224	Precision instrument makers and repairers
5	52	522	5225	Air-conditioning and refrigeration engineers
5	52	523	5231	Vehicle technicians, mechanics and electricians
5	52	523	5232	Vehicle body builders and repairers
5	52	523	5234	Vehicle paint technicians
5	52	523	5235	Aircraft maintenance and related trades
5	52	523	5236	Boat and ship builders and repairers
5	52	523	5237	Rail and rolling stock builders and repairers
5	52	524	5241	Electricians and electrical fitters
5	52	524	5242	Telecommunications engineers
5	52	524	5244	TV, video and audio engineers
5	52	524	5245	IT engineers
5	52	524	5249	Electrical and electronic trades n.e.c.
5	52	525	5250	Skilled metal, electrical and electronic trades supervisors
5	53	531	5311	Steel erectors
5	53	531	5312	Bricklayers and masons
5	53	531	5313	Roofers, roof tilers and slaters
5	53	531	5314	Plumbers and heating and ventilating engineers
5	53	531	5315	Carpenters and joiners
5	53	531	5316	Glaziers, window fabricators and fitters
5	53	531	5319	Construction and building trades n.e.c.
5	53	532	5321	Plasterers
5	53	532	5322	Floorers and wall tilers
5	53	532	5323	Painters and decorators
5	53	533	5330	Construction and building trades supervisors
5	54	541	5411	Weavers and knitters
5	54	541	5412	Upholsterers
5	54	541	5413	Footwear and leather working trades
5	54	541	5414	Tailors and dressmakers
5	54	541	5419	Textiles, garments and related trades n.e.c.
5	54	542	5421	Pre-press technicians
5	54	542	5422	Printers
5	54	542	5423	Print finishing and binding workers
5	54	543	5431	Butchers
5	54	543	5432	Bakers and flour confectioners
5	54	543	5433	Fishmongers and poultry dressers
5	54	543	5434	Chefs
5	54	543	5435	Cooks
5	54	543	5436	Catering and bar managers
5	54	544	5441	Glass and ceramics makers, decorators and finishers
5	54	544	5442	Furniture makers and other craft woodworkers
5	54	544	5443	Florists
5	54	544	5449	Other skilled trades n.e.c.
6	61	612	6121	Nursery nurses and assistants
6	61	612	6122	Childminders and related occupations
6	61	612	6123	Playworkers
6	61	612	6125	Teaching assistants
6	61	612	6126	Educational support assistants
6	61	613	6131	Veterinary nurses
6	61	613	6132	Pest control officers
6	61	613	6139	Animal care services occupations n.e.c.
6	61	614	6141	Nursing auxiliaries and assistants
6	61	614	6142	Ambulance staff (excluding paramedics)
6	61	614	6143	Dental nurses
6	61	614	6144	Houseparents and residential wardens
6	61	614	6145	Care workers and home carers
6	61	614	6146	Senior care workers
6	61	614	6147	Care escorts
6	61	614	6148	Undertakers, mortuary and crematorium assistants
6	62	621	6211	Sports and leisure assistants
6	62	621	6212	Travel agents
6	62	621	6214	Air travel assistants
6	62	621	6215	Rail travel assistants
6	62	621	6219	Leisure and travel service occupations n.e.c.
6	62	622	6221	Hairdressers and barbers
6	62	622	6222	Beauticians and related occupations
6	62	623	6231	Housekeepers and related occupations
6	62	623	6232	Caretakers
6	62	624	6240	Cleaning and housekeeping managers and supervisors
7	71	711	7111	Sales and retail assistants
7	71	711	7112	Retail cashiers and check-out operators
7	71	711	7113	Telephone salespersons
7	71	711	7114	Pharmacy and other dispensing assistants
7	71	711	7115	Vehicle and parts salespersons and advisers
7	71	712	7121	Collector salespersons and credit agents
7	71	712	7122	Debt, rent and other cash collectors
7	71	712	7123	Roundspersons and van salespersons
7	71	712	7124	Market and street traders and assistants
7	71	712	7125	Merchandisers and window dressers
7	71	712	7129	Sales related occupations n.e.c.
7	71	713	7130	Sales supervisors
7	72	721	7211	Call and contact centre occupations
7	72	721	7213	Telephonists
7	72	721	7214	Communication operators
7	72	721	7215	Market research interviewers
7	72	721	7219	Customer service occupations n.e.c.
7	72	722	7220	Customer service managers and supervisors
8	81	811	8111	Food, drink and tobacco process operatives
8	81	811	8112	Glass and ceramics process operatives
8	81	811	8113	Textile process operatives
8	81	811	8114	Chemical and related process operatives
8	81	811	8115	Rubber process operatives
8	81	811	8116	Plastics process operatives
8	81	811	8117	Metal making and treating process operatives
8	81	811	8118	Electroplaters
8	81	811	8119	Process operatives n.e.c.
8	81	812	8121	Paper and wood machine operatives
8	81	812	8122	Coal mine operatives
8	81	812	8123	Quarry workers and related operatives
8	81	812	8124	Energy plant operatives
8	81	812	8125	Metal working machine operatives
8	81	812	8126	Water and sewerage plant operatives
8	81	812	8127	Printing machine assistants
8	81	812	8129	Plant and machine operatives n.e.c.
8	81	813	8131	Assemblers (electrical and electronic products)
8	81	813	8132	Assemblers (vehicles and metal goods)
8	81	813	8133	Routine inspectors and testers
8	81	813	8134	Weighers, graders and sorters
8	81	813	8135	Tyre, exhaust and windscreen fitters
8	81	813	8137	Sewing machinists
8	81	813	8139	Assemblers and routine operatives n.e.c.
8	81	814	8141	Scaffolders, stagers and riggers
8	81	814	8142	Road construction operatives
8	81	814	8143	Rail construction and maintenance operatives
8	81	814	8149	Construction operatives n.e.c.
8	82	821	8211	Large goods vehicle drivers
8	82	821	8212	Van drivers
8	82	821	8213	Bus and coach drivers
8	82	821	8214	Taxi and cab drivers and chauffeurs
8	82	821	8215	Driving instructors
8	82	822	8221	Crane drivers
8	82	822	8222	Fork-lift truck drivers
8	82	822	8223	Agricultural machinery drivers
8	82	822	8229	Mobile machine drivers and operatives n.e.c.
8	82	823	8231	Train and tram drivers
8	82	823	8232	Marine and waterways transport operatives
8	82	823	8233	Air transport operatives
8	82	823	8234	Rail transport operatives
8	82	823	8239	Other drivers and transport operatives n.e.c.
9	91	911	9111	Farm workers
9	91	911	9112	Forestry workers
9	91	911	9119	Fishing and other elementary agriculture occupations n.e.c.
9	91	912	9120	Elementary construction occupations
9	91	913	9132	Industrial cleaning process occupations
9	91	913	9134	Packers, bottlers, canners and fillers
9	91	913	9139	Elementary process plant occupations n.e.c.
9	92	921	9211	Postal workers, mail sorters, messengers and couriers
9	92	921	9219	Elementary administration occupations n.e.c.
9	92	923	9231	Window cleaners
9	92	923	9232	Street cleaners
9	92	923	9233	Cleaners and domestics
9	92	923	9234	Launderers, dry cleaners and pressers
9	92	923	9235	Refuse and salvage occupations
9	92	923	9236	Vehicle valeters and cleaners
9	92	923	9239	Elementary cleaning occupations n.e.c.
9	92	924	9241	Security guards and related occupations
9	92	924	9242	Parking and civil enforcement occupations
9	92	924	9244	School midday and crossing patrol occupations
9	92	924	9249	Elementary security occupations n.e.c.
9	92	925	9251	Shelf fillers
9	92	925	9259	Elementary sales occupations n.e.c.
9	92	926	9260	Elementary storage occupations
9	92	927	9271	Hospital porters
9	92	927	9272	Kitchen and catering assistants
9	92	927	9273	Waiters and waitresses
9	92	927	9274	Bar staff
9	92	927	9275	Leisure and theme park attendants
9	92	927	9279	Other elementary services occupations n.e.c.
