code	name
1	Managers And Administrators
2	Professional Occupations
3	Associate Professional And Technical Occupations
4	Clerical And Secretarial Occupations
5	Craft And Related Occupations
6	Personal And Protective Service Occupations
7	Sales Occupations
8	Plant And Machine Operatives
9	Other Occupations
10	General Managers And Administrators In National And Local Government, Large Companies And Organisations
11	Production Managers In Manufacturing, Construction, Mining And Energy Industries
12	Specialist Managers
13	Financial Institution And Office Managers, Civil Service Executive Officers
14	Managers In Transport And Storing
15	Protective Service Officers
16	Managers In Farming, Horticulture, Forestry And Fishing
17	Managers And Proprietors In Service Industries
19	Managers And Administrators Nec
20	Natural Scientists
21	Engineers And Technologists
22	Health Professionals
23	Teaching Professionals
24	Legal Professionals
25	Business And Financial Professionals
26	Architects, Town Planners And Surveyors
27	Librarians And Related Professionals
29	Professional Occupations Nec
30	Scientific Technicians
31	Draughtspersons, Quantity And Other Surveyors
32	Computer Analyst/Programmers
33	Ship And Aircraft Officers, Air Traffic Planners And Controllers
34	Health Associate Professionals
35	Legal Associate Professionals
36	Business And Financial Associate Professionals
37	Social Welfare Associate Professionals
38	Literary, Artistic And Sports Professionals
39	Associate Professional And Technical Occupations
40	Administrative/Clerical Officers And Assistants In Civil Service And Local Government
41	Numerical Clerks And Cashiers
42	Filing And Records Clerks
43	Clerks (Not Otherwise Specified)
44	Stores And Despatch Clerks, Storekeepers
45	Secretaries, Personal Assistants, Typists, Word Processor Operators
46	Receptionists, Telephonists And Related Occupations
49	Clerical And Secretarial Occupations Nec
50	Construction Trades
51	Metal Machining, Fitting And Instrument Making Trades
52	Electrical/Electronic Trades
53	Metal Forming, Welding And Related Trades
54	Vehicle Trades
55	Textiles, Garments And Related Trades
56	Printing And Related Trades
57	Woodworking Trades
58	Food Preparation Trades
59	Other Craft And Related Occupations Nec
60	Ncos And Other Ranks, Armed Forces
61	Security And Protective Service Occupations
62	Catering Occupations
63	Travel Attendants And Related Occupations
64	Health And Related Occupations
65	Childcare And Related Occupations
66	Hairdressers, Beauticians And Related Occupations
67	Domestic Staff And Related Occupations
69	Personal And Protective Service Occupations Nec
70	Buyers, Brokers And Related Agents
71	Sales Representatives
72	Sales Assistants And Check-Out Operators
73	Mobile, Market And Door-To-Door Salespersons And ????????
79	Sales Occupations Nec
80	Food, Drink And Tobacco Process Operatives
81	Textiles And Tannery Process Operatives
82	Chemicals, Paper, Plastic And Related Process Operatives
83	Metal Making And Treating Process Operatives
84	Metal Working Process Operatives
85	Assemblers/Lineworkers
86	Other Routine Process Operatives
87	Road Transport Operatives
88	Other Transport And Machinery Operative
89	Plant And Machine Operatives Nec
90	Other Occupations In Agriculture, Forestry And Fishing
91	Other Occupations In Mining And Manufacturing
92	Other Occupations In Construction
93	Other Occupations In Transport
94	Other Occupations In Communication
95	Other Occupations In Sales And Services
99	Other Occupations Nec
1000	General administrators; national government (Assistant Secretary/Grade 5 and above)
1010	General Managers; large companies and organisations
1020	Local government officers (administrative and executive functions)
1030	General administrators; national government (HEO to Senior Principal/Grade 6)
1100	Production, works and maintenance managers
1101	Production and works managers: engineering and metal mfr.
1102	Production and works managers: chemicals, oil
1103	Production and works managers: food, drink and tobacco
1104	Production and works managers: paper and printing
1105	Production and works managers: products n.e.c.
1106	Maintenance managers (factory production)
1107	Assistant managers, engineers (factory production)
1110	Managers in building contracting
1111	Managers (contracts: construction/building)
1112	Site agents
1113	Site engineers (construction)
1114	General foremen (construction)
1115	Maintenance managers (building and contracting)
1116	Inspectors of works (civil engineering)
1120	Clerks of works
1130	Managers in mining and energy industries
1131	Mine managers
1132	Mine overmen
1133	Quarry managers
1134	Drilling managers
1135	Gas supply managers
1136	Water supply managers
1137	Electricity supply managers
1200	Treasurers and company financial managers
1201	Finance managers and directors n.e.c.
1202	Local government treasurers
1203	Accounts officers (national government)
1204	Trust administrators and officers
1205	Investment/merchant bankers
1210	Marketing and sales managers
1211	Marketing managers
1212	Sales managers
1213	Market research managers and analysts
1214	Sales advisers, consultants and planners
1215	Export managers
1220	Purchasing managers
1230	Advertising and public relations managers
1231	Advertising managers (company managers)
1232	Agency managers (agents)
1233	Account executives
1234	Media planners
1235	Advertisement managers (media managers)
1236	Publicity and public relations agents, managers and officers
1237	Appeals organisers
1240	Personnel, training and industrial relations managers
1241	Personnel managers (department heads)
1242	Industrial relations managers
1243	Training managers
1250	Organisation and methods and work study managers
1251	Operational research managers
1252	Organisation and methods managers
1253	Work and method study managers
1260	Computer systems and data processing managers
1261	Data processing managers
1262	Computer operations managers
1270	Company secretaries
1271	Company secretaries
1272	Secretaries (nationalised industries, health authorities)
1273	Company registrars
1300	Credit controllers
1310	Bank, Building Society and Post Office managers (except self-employed)
1311	Bank managers
1312	Building society managers
1313	Post office managers
1320	Civil service executive officers
1321	Civil service executive officers, n.e.c.
1322	Civil service executive officers: employment and social security
1323	Civil service executive officers: tax collection
1390	Other financial institutions and office managers n.e.c.
1391	Office managers (general accounts etc.)
1392	Insurance managers
1393	Telecommunications managers
1394	Booking office managers
1395	Employment agents
1400	Transport managers n.e.c.
1410	Stores controllers
1411	Stock controllers
1412	Stores managers, controllers and inspectors
1420	Managers in warehousing and other materials handling
1500	Officers in UK armed forces
1501	Army officers (UK)
1502	Royal Navy officers (UK)
1503	Royal Air Force officers (UK)
1510	Officers in foreign and Commonwealth armed forces
1511	Army officers (not UK)
1512	Navy officers (not UK)
1513	Air force officers (not UK)
1520	Police officer (inspector and above)
1530	Fire service officers (station officer and above)
1540	Prison officers (principal officer and above)
1550	Customs and excise, immigration service officers (customs: chief preventive officers excise: surveyors and above)
1600	Farm owners and managers, horticulturists
1690	Other managers in farming, forestry and fishing n.e.c.
1691	Fishing managers
1692	Animal establishment (not livestock) managers
1693	Forestry and tree felling managers
1700	Property and estate managers
1701	Estate agents and surveyors
1702	Land agents
1703	Property company managers, landlords, etc.
1710	Garage managers and proprietors
1720	Hairdressers' and barbers' managers and proprietors
1721	Hairdressing managers
1722	Beauty treatment managers
1730	Hotel and accommodation managers
1731	Hotel managers
1732	Guest house or boarding house managers
1733	Pursers
